Surface Profile             
x       y           
[m]     [m]         
0  -8.7177935e-010            
1.4813717e-007  -1.1686886e-009            
2.9627435e-007  -1.5557473e-009            
4.4441152e-007  -1.6752887e-009            
5.925487e-007  -1.9121435e-009            
7.4068587e-007  -2.0806494e-009            
8.8882305e-007  -2.1173561e-009            
1.0369602e-006  -2.3718311e-009            
1.1850974e-006  -2.4867833e-009            
1.3332346e-006  -2.6257085e-009            
1.4813717e-006  -2.8178194e-009            
1.6295089e-006  -3.0736426e-009            
1.7776461e-006  -3.2703747e-009            
1.9257833e-006  -3.6683296e-009            
2.0739204e-006  -4.2708452e-009            
2.2220576e-006  -4.6843394e-009            
2.3701948e-006  -5.1353858e-009            
2.518332e-006  -5.3584319e-009            
2.6664691e-006  -5.5980723e-009            
2.8146063e-006  -5.8651053e-009            
2.9627435e-006  -6.1725864e-009            
3.1108807e-006  -6.5335103e-009            
3.2590178e-006  -7.0854012e-009            
3.407155e-006  -7.454261e-009            
3.5552922e-006  -7.8881402e-009            
3.7034294e-006  -8.3928736e-009            
3.8515665e-006  -8.9686372e-009            
3.9997037e-006  -9.4829813e-009            
4.1478409e-006  -9.925509e-009            
4.2959781e-006  -1.0416973e-008            
4.4441152e-006  -1.0955863e-008            
4.5922524e-006  -1.1410674e-008            
4.7403896e-006  -1.1901389e-008            
4.8885268e-006  -1.2173434e-008            
5.0366639e-006  -1.2604142e-008            
5.1848011e-006  -1.3202508e-008            
5.3329383e-006  -1.3584163e-008            
5.4810755e-006  -1.3988348e-008            
5.6292126e-006  -1.4289075e-008            
5.7773498e-006  -1.4613829e-008            
5.925487e-006  -1.4970497e-008            
6.0736242e-006  -1.536502e-008            
6.2217613e-006  -1.5800767e-008            
6.3698985e-006  -1.6151739e-008            
6.5180357e-006  -1.6543815e-008            
6.6661729e-006  -1.6855423e-008            
6.81431e-006  -1.734338e-008            
6.9624472e-006  -1.7761976e-008            
7.1105844e-006  -1.8234662e-008            
7.2587216e-006  -1.8636039e-008            
7.4068587e-006  -1.9091171e-008            
7.5549959e-006  -1.9602522e-008            
7.7031331e-006  -2.0041149e-008            
7.8512703e-006  -2.0527285e-008            
7.9994074e-006  -2.0931003e-008            
8.1475446e-006  -2.1498992e-008            
8.2956818e-006  -2.1848523e-008            
8.443819e-006  -2.2221857e-008            
8.5919561e-006  -2.2623669e-008            
8.7400933e-006  -2.2931483e-008            
8.8882305e-006  -2.3402469e-008            
9.0363677e-006  -2.3664883e-008            
9.1845048e-006  -2.4096182e-008            
9.332642e-006  -2.4704227e-008            
9.4807792e-006  -2.5102763e-008            
9.6289164e-006  -2.5401889e-008            
9.7770535e-006  -2.5726759e-008            
9.9251907e-006  -2.6082329e-008            
1.0073328e-005  -2.647129e-008            
