Surface Profile             
x       y           
[m]     [m]         
0  2.9622618e-009            
1.9442284e-007  3.398758e-009            
3.8884568e-007  3.4455481e-009            
5.8326853e-007  3.7487554e-009            
7.7769137e-007  4.0481095e-009            
9.7211421e-007  3.8494214e-009            
1.1665371e-006  4.0373662e-009            
1.3609599e-006  4.1479507e-009            
1.5553827e-006  4.1389485e-009            
1.7498056e-006  4.2343211e-009            
1.9442284e-006  4.0826118e-009            
2.1386513e-006  4.318234e-009            
2.3330741e-006  4.4452421e-009            
2.5274969e-006  4.3293482e-009            
2.7219198e-006  4.6040595e-009            
2.9163426e-006  4.5241225e-009            
3.1107655e-006  4.7147322e-009            
3.3051883e-006  4.9364174e-009            
3.4996112e-006  4.9319538e-009            
3.694034e-006  5.204452e-009            
3.8884568e-006  5.3834966e-009            
4.0828797e-006  5.4609493e-009            
4.2773025e-006  5.688306e-009            
4.4717254e-006  5.9411544e-009            
4.6661482e-006  6.0831424e-009            
4.860571e-006  6.2289264e-009            
5.0549939e-006  6.3729084e-009            
5.2494167e-006  6.5092979e-009            
5.4438396e-006  6.5068061e-009            
5.6382624e-006  6.4905765e-009            
5.8326853e-006  6.5963854e-009            
6.0271081e-006  6.5804239e-009            
6.2215309e-006  6.6981558e-009            
6.4159538e-006  6.8310873e-009            
6.6103766e-006  6.8502301e-009            
6.8047995e-006  7.0048315e-009            
6.9992223e-006  7.0421005e-009            
7.1936452e-006  7.2064433e-009            
7.388068e-006  7.2416274e-009            
7.5824908e-006  7.1374206e-009            
7.7769137e-006  7.2743311e-009            
7.9713365e-006  7.2821209e-009            
8.1657594e-006  7.1584177e-009            
8.3601822e-006  7.2939271e-009            
8.554605e-006  7.2022018e-009            
8.7490279e-006  7.3967366e-009            
8.9434507e-006  7.5176413e-009            
9.1378736e-006  7.8193469e-009            
9.3322964e-006  8.0515873e-009            
9.5267193e-006  8.3308306e-009            
9.7211421e-006  8.6492192e-009            
9.9155649e-006  8.7401743e-009            
1.0109988e-005  9.0949781e-009            
1.0304411e-005  9.3308472e-009            
1.0498833e-005  9.3027657e-009            
1.0693256e-005  9.5113894e-009            
1.0887679e-005  9.4619867e-009            
1.1082102e-005  9.5344859e-009            
1.1276525e-005  9.6185087e-009            
1.1470948e-005  9.847952e-009            
1.1665371e-005  1.0100368e-008            
1.1859793e-005  9.9892029e-009            
1.2054216e-005  1.026893e-008            
1.2248639e-005  1.0448143e-008            
1.2443062e-005  1.0517172e-008            
1.2637485e-005  1.0727865e-008            
1.2831908e-005  1.0831885e-008            
1.302633e-005  1.0951858e-008            
1.3220753e-005  1.1089177e-008            
1.3415176e-005  1.1368867e-008            
1.3609599e-005  1.1532573e-008            
1.3804022e-005  1.1567339e-008            
1.3998445e-005  1.1724539e-008            
1.4192867e-005  1.1632337e-008            
1.438729e-005  1.180122e-008            
1.4581713e-005  1.1869091e-008            
1.4776136e-005  1.2088204e-008            
1.4970559e-005  1.2332472e-008            
1.5164982e-005  1.2461692e-008            
1.5359405e-005  1.2585675e-008            
1.5553827e-005  1.2694774e-008            
1.574825e-005  1.265476e-008            
1.5942673e-005  1.2589878e-008            
1.6137096e-005  1.2510558e-008            
1.6331519e-005  1.2557079e-008            
1.6525942e-005  1.2489131e-008            
